                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.0639,                0.48858,                 1.0502,                0.89331,                0.87323,                0.90317,                0.54139,                 1.4801,                0.63202,                 1.3651,               0.000404,               0.000404,               0.000404
                     82,                 1.0611,                0.48504,                 1.0453,                0.90407,                0.87773,                0.90923,                0.54617,                 1.4664,                  0.626,                 1.3681,             0.00038405,             0.00038405,             0.00038405
                     83,                 1.0622,                0.48981,                 1.0543,                0.89658,                0.87902,                0.90008,                0.52308,                 1.5447,                0.63437,                 1.4016,              0.0003641,              0.0003641,              0.0003641
                     84,                 1.0372,                0.47827,                 1.0351,                0.89085,                 0.8816,                0.90495,                0.53342,                 1.5307,                0.61847,                 1.3909,             0.00034415,             0.00034415,             0.00034415
                     85,                 1.0593,                0.48368,                 1.0447,                0.88733,                0.88739,                0.90944,                0.54197,                 1.4912,                0.62729,                 1.3691,              0.0003242,              0.0003242,              0.0003242
                     86,                 1.0371,                0.47608,                 1.0413,                0.90075,                0.87323,                0.90611,                0.54761,                  1.503,                0.61906,                 1.3879,             0.00030425,             0.00030425,             0.00030425
                     87,                 1.0396,                0.47194,                 1.0449,                0.90589,                0.87387,                0.90957,                0.53809,                 1.5149,                 0.6209,                  1.386,              0.0002843,              0.0002843,              0.0002843
                     88,                 1.0396,                0.47419,                 1.0303,                0.90955,                0.87353,                 0.9103,                0.54498,                 1.4987,                 0.6158,                 1.3912,             0.00026435,             0.00026435,             0.00026435
                     89,                 1.0359,                0.47464,                 1.0348,                0.89798,                0.87227,                0.90416,                0.54333,                 1.5009,                0.62575,                 1.3883,              0.0002444,              0.0002444,              0.0002444
                     90,                 1.0414,                0.45542,                 1.0601,                0.89458,                0.86824,                 0.9023,                0.53565,                 1.5299,                 0.6192,                 1.3903,             0.00022445,             0.00022445,             0.00022445
                     91,                 1.0129,                0.43593,                 1.0493,                0.88153,                0.89541,                0.91194,                0.54427,                 1.4856,                0.61274,                 1.3768,              0.0002045,              0.0002045,              0.0002045
                     92,                 1.0098,                0.43843,                 1.0495,                0.90576,                0.88546,                0.91403,                0.53785,                 1.5352,                0.61719,                 1.3937,             0.00018455,             0.00018455,             0.00018455
                     93,                0.98935,                0.42474,                 1.0331,                0.89973,                0.89254,                 0.9167,                0.54605,                 1.5114,                0.61435,                 1.3855,              0.0001646,              0.0001646,              0.0001646
                     94,                0.98145,                0.42058,                 1.0289,                0.89851,                0.88871,                0.91312,                0.54298,                 1.5232,                0.61414,                 1.3938,             0.00014465,             0.00014465,             0.00014465
                     95,                0.97112,                0.41055,                 1.0275,                0.89805,                0.89189,                0.91651,                0.54802,                 1.5142,                 0.6082,                 1.3918,              0.0001247,              0.0001247,              0.0001247
                     96,                  0.966,                0.41236,                  1.026,                0.90527,                0.88674,                0.91505,                0.54196,                 1.5272,                0.61157,                  1.398,             0.00010475,             0.00010475,             0.00010475
                     97,                0.95992,                0.40749,                 1.0254,                0.90276,                 0.8842,                 0.9118,                0.54845,                 1.5009,                0.61244,                 1.3928,               8.48e-05,               8.48e-05,               8.48e-05
                     98,                0.96013,                0.40832,                 1.0239,                0.90225,                0.88504,                0.91279,                0.54687,                  1.509,                0.61085,                 1.3976,              6.485e-05,              6.485e-05,              6.485e-05
                     99,                  0.949,                0.40371,                 1.0112,                0.91179,                0.87802,                0.91246,                0.54804,                 1.5041,                0.61039,                 1.3937,               4.49e-05,               4.49e-05,               4.49e-05
